0.00	0.10	0.10	287.36	342.24	2532.00
0.00	0.10	0.30	64.05	77.39	633.00
0.00	0.10	0.50	46.20	54.36	476.00
0.00	0.10	0.70	39.33	45.03	399.00
0.00	0.10	0.90	40.42	42.81	282.00
0.00	0.30	0.10	50.08	66.20	481.00
0.00	0.30	0.30	15.19	16.53	173.00
0.00	0.30	0.50	10.63	10.20	92.00
0.00	0.30	0.70	9.39	9.29	93.00
0.00	0.30	0.90	10.15	9.09	59.00
0.00	0.50	0.10	21.03	24.15	208.00
0.00	0.50	0.30	7.78	7.24	62.00
0.00	0.50	0.50	6.70	5.67	40.00
0.00	0.50	0.70	6.05	4.85	33.00
0.00	0.50	0.90	6.54	5.51	38.00
0.00	0.70	0.10	14.83	16.93	155.00
0.00	0.70	0.30	6.00	5.07	51.00
0.00	0.70	0.50	4.83	3.48	36.00
0.00	0.70	0.70	4.53	3.15	24.00
0.00	0.70	0.90	4.62	3.21	21.00
0.00	0.90	0.10	10.76	11.61	110.00
0.00	0.90	0.30	4.58	3.58	34.00
0.00	0.90	0.50	3.80	2.57	21.00
0.00	0.90	0.70	3.76	2.35	17.00
0.00	0.90	0.90	3.81	2.37	19.00
0.10	0.10	0.10	247.10	340.78	2284.00
0.10	0.10	0.30	52.60	72.58	460.00
0.10	0.10	0.50	38.76	52.41	381.00
0.10	0.10	0.70	35.07	44.09	285.00
0.10	0.10	0.90	36.68	43.74	281.00
0.10	0.30	0.10	41.89	59.22	476.00
0.10	0.30	0.30	12.45	13.83	118.00
0.10	0.30	0.50	9.75	10.09	99.00
0.10	0.30	0.70	9.09	9.30	85.00
0.10	0.30	0.90	9.45	9.50	72.00
0.10	0.50	0.10	19.49	24.44	230.00
0.10	0.50	0.30	7.19	6.85	77.00
0.10	0.50	0.50	5.91	5.10	41.00
0.10	0.50	0.70	5.74	4.75	37.00
0.10	0.50	0.90	6.07	4.91	48.00
0.10	0.70	0.10	12.77	15.31	123.00
0.10	0.70	0.30	5.29	4.71	47.00
0.10	0.70	0.50	4.58	3.49	36.00
0.10	0.70	0.70	4.36	2.98	23.00
0.10	0.70	0.90	4.42	3.25	32.00
0.10	0.90	0.10	9.29	10.86	132.00
0.10	0.90	0.30	4.43	3.34	32.00
0.10	0.90	0.50	3.82	2.58	23.00
0.10	0.90	0.70	3.57	2.21	18.00
0.10	0.90	0.90	3.81	2.40	19.00
0.20	0.10	0.10	179.32	291.67	2142.00
0.20	0.10	0.30	38.05	62.51	503.00
0.20	0.10	0.50	28.14	42.45	315.00
0.20	0.10	0.70	24.24	35.80	256.00
0.20	0.10	0.90	25.43	36.49	390.00
0.20	0.30	0.10	29.50	50.39	398.00
0.20	0.30	0.30	9.59	11.84	94.00
0.20	0.30	0.50	7.31	7.93	63.00
0.20	0.30	0.70	7.41	8.26	103.00
0.20	0.30	0.90	7.43	7.83	62.00
0.20	0.50	0.10	14.53	21.86	155.00
0.20	0.50	0.30	6.02	6.75	90.00
0.20	0.50	0.50	4.90	4.25	39.00
0.20	0.50	0.70	5.09	4.24	32.00
0.20	0.50	0.90	5.23	4.65	38.00
0.20	0.70	0.10	10.06	13.89	134.00
0.20	0.70	0.30	5.13	4.46	34.00
0.20	0.70	0.50	4.11	3.01	23.00
0.20	0.70	0.70	4.18	2.95	25.00
0.20	0.70	0.90	4.21	3.04	22.00
0.20	0.90	0.10	7.53	9.48	113.00
0.20	0.90	0.30	3.99	2.74	23.00
0.20	0.90	0.50	3.58	2.26	20.00
0.20	0.90	0.70	3.66	2.40	22.00
0.20	0.90	0.90	3.82	2.56	22.00
0.30	0.10	0.10	140.57	274.69	2668.00
0.30	0.10	0.30	32.77	59.07	455.00
0.30	0.10	0.50	23.31	40.10	368.00
0.30	0.10	0.70	19.89	32.57	277.00
0.30	0.10	0.90	23.00	35.56	294.00
0.30	0.30	0.10	27.30	48.00	347.00
0.30	0.30	0.30	8.92	10.89	81.00
