0.00	0.10	0.10	2.77	0.82	2.00	7.00
0.00	0.10	0.30	2.84	0.93	2.00	8.00
0.00	0.10	0.50	2.84	0.89	2.00	7.00
0.00	0.10	0.70	2.82	0.89	2.00	8.00
0.00	0.10	0.90	2.88	0.94	2.00	8.00
0.00	0.30	0.10	2.79	0.84	2.00	6.00
0.00	0.30	0.30	2.94	0.97	2.00	9.00
0.00	0.30	0.50	2.92	0.98	2.00	9.00
0.00	0.30	0.70	3.01	1.06	2.00	11.00
0.00	0.30	0.90	3.04	1.09	2.00	10.00
0.00	0.50	0.10	2.87	0.90	2.00	7.00
0.00	0.50	0.30	2.98	0.97	2.00	8.00
0.00	0.50	0.50	3.08	1.12	2.00	8.00
0.00	0.50	0.70	3.22	1.29	2.00	16.00
0.00	0.50	0.90	3.31	1.32	2.00	9.00
0.00	0.70	0.10	2.89	0.95	2.00	7.00
0.00	0.70	0.30	3.09	1.11	2.00	10.00
0.00	0.70	0.50	3.24	1.29	2.00	10.00
0.00	0.70	0.70	3.62	1.59	2.00	11.00
0.00	0.70	0.90	3.85	1.87	2.00	14.00
0.00	0.90	0.10	2.90	0.93	2.00	7.00
0.00	0.90	0.30	3.25	1.29	2.00	12.00
0.00	0.90	0.50	3.54	1.52	2.00	12.00
0.00	0.90	0.70	4.11	2.16	2.00	18.00
0.00	0.90	0.90	4.98	3.17	2.00	32.00
0.20	0.10	0.10	3.10	1.08	2.00	9.00
0.20	0.10	0.30	3.09	1.17	2.00	11.00
0.20	0.10	0.50	3.06	1.04	2.00	9.00
0.20	0.10	0.70	3.01	1.03	2.00	9.00
0.20	0.10	0.90	3.07	1.11	2.00	9.00
0.20	0.30	0.10	3.07	1.09	2.00	9.00
0.20	0.30	0.30	3.20	1.24	2.00	11.00
0.20	0.30	0.50	3.20	1.19	2.00	11.00
0.20	0.30	0.70	3.24	1.28	2.00	11.00
0.20	0.30	0.90	3.36	1.39	2.00	11.00
0.20	0.50	0.10	3.00	1.02	2.00	9.00
0.20	0.50	0.30	3.22	1.23	2.00	10.00
0.20	0.50	0.50	3.38	1.30	2.00	10.00
0.20	0.50	0.70	3.52	1.46	2.00	11.00
0.20	0.50	0.90	3.60	1.54	2.00	11.00
0.20	0.70	0.10	3.10	1.13	2.00	9.00
0.20	0.70	0.30	3.37	1.35	2.00	10.00
0.20	0.70	0.50	3.55	1.53	2.00	12.00
0.20	0.70	0.70	3.84	1.82	2.00	15.00
0.20	0.70	0.90	4.31	2.34	2.00	19.00
0.20	0.90	0.10	3.11	1.10	2.00	9.00
0.20	0.90	0.30	3.48	1.54	2.00	11.00
0.20	0.90	0.50	3.92	1.89	2.00	16.00
0.20	0.90	0.70	4.63	2.52	2.00	18.00
0.20	0.90	0.90	5.42	3.43	2.00	28.00
0.40	0.10	0.10	3.34	1.28	2.00	12.00
0.40	0.10	0.30	3.38	1.33	2.00	11.00
0.40	0.10	0.50	3.46	1.40	2.00	11.00
0.40	0.10	0.70	3.44	1.41	2.00	12.00
0.40	0.10	0.90	3.49	1.43	2.00	12.00
0.40	0.30	0.10	3.44	1.45	2.00	11.00
0.40	0.30	0.30	3.56	1.44	2.00	10.00
0.40	0.30	0.50	3.61	1.54	2.00	11.00
0.40	0.30	0.70	3.72	1.65	2.00	12.00
0.40	0.30	0.90	3.74	1.65	2.00	15.00
0.40	0.50	0.10	3.46	1.35	2.00	12.00
0.40	0.50	0.30	3.62	1.55	2.00	12.00
0.40	0.50	0.50	3.76	1.77	2.00	20.00
0.40	0.50	0.70	3.97	1.79	2.00	13.00
0.40	0.50	0.90	4.10	1.99	2.00	14.00
0.40	0.70	0.10	3.51	1.50	2.00	12.00
0.40	0.70	0.30	3.64	1.60	2.00	16.00
0.40	0.70	0.50	4.00	1.92	2.00	16.00
0.40	0.70	0.70	4.48	2.29	2.00	18.00
0.40	0.70	0.90	4.85	2.69	2.00	19.00
0.40	0.90	0.10	3.45	1.48	2.00	23.00
0.40	0.90	0.30	3.82	1.74	2.00	14.00
0.40	0.90	0.50	4.27	2.22	2.00	22.00
0.40	0.90	0.70	5.04	2.89	2.00	21.00
0.40	0.90	0.90	6.24	3.98	2.00	25.00
0.60	0.10	0.10	4.07	1.87	2.00	15.00
0.60	0.10	0.30	4.22	2.00	2.00	17.00
0.60	0.10	0.50	4.11	1.81	2.00	13.00
0.60	0.10	0.70	4.14	2.08	2.00	15.00
0.60	0.10	0.90	4.24	2.08	2.00	16.00
0.60	0.30	0.10	4.07	1.98	2.00	18.00
0.60	0.30	0.30	4.17	1.99	2.00	15.00
0.60	0.30	0.50	4.26	2.20	2.00	27.00
0.60	0.30	0.70	4.44	2.27	2.00	17.00
0.60	0.30	0.90	4.56	2.33	2.00	17.00
0.60	0.50	0.10	4.13	1.96	2.00	15.00
0.60	0.50	0.30	4.22	2.10	2.00	17.00
0.60	0.50	0.50	4.58	2.37	2.00	18.00
0.60	0.50	0.70	4.73	2.41	2.00	20.00
0.60	0.50	0.90	5.03	2.73	2.00	19.00
0.60	0.70	0.10	4.22	2.06	2.00	17.00
0.60	0.70	0.30	4.36	2.20	2.00	19.00
0.60	0.70	0.50	4.82	2.70	2.00	22.00
0.60	0.70	0.70	5.10	2.99	2.00	25.00
0.60	0.70	0.90	5.73	3.50	2.00	25.00
0.60	0.90	0.10	4.14	1.94	2.00	13.00
0.60	0.90	0.30	4.48	2.33	2.00	16.00
0.60	0.90	0.50	5.08	2.79	2.00	21.00
0.60	0.90	0.70	5.88	3.49	2.00	24.00
0.60	0.90	0.90	7.24	5.21	2.00	45.00
0.80	0.10	0.10	6.16	3.74	2.00	23.00
0.80	0.10	0.30	6.42	4.11	2.00	31.00
0.80	0.10	0.50	6.43	4.22	2.00	39.00
0.80	0.10	0.70	6.72	4.43	2.00	35.00
0.80	0.10	0.90	6.78	4.46	2.00	39.00
0.80	0.30	0.10	6.16	3.99	2.00	30.00
0.80	0.30	0.30	5.93	3.56	2.00	34.00
0.80	0.30	0.50	6.19	3.77	2.00	27.00
0.80	0.30	0.70	6.36	3.84	2.00	25.00
0.80	0.30	0.90	6.70	4.32	2.00	36.00
0.80	0.50	0.10	6.19	3.65	2.00	29.00
0.80	0.50	0.30	6.06	3.77	2.00	29.00
0.80	0.50	0.50	6.08	3.59	2.00	27.00
0.80	0.50	0.70	6.63	4.28	2.00	37.00
0.80	0.50	0.90	7.11	4.68	2.00	38.00
0.80	0.70	0.10	6.22	3.92	2.00	37.00
0.80	0.70	0.30	6.04	3.62	2.00	30.00
0.80	0.70	0.50	6.22	3.69	2.00	25.00
0.80	0.70	0.70	6.84	4.55	2.00	39.00
0.80	0.70	0.90	8.09	5.55	2.00	40.00
0.80	0.90	0.10	5.98	3.50	2.00	23.00
0.80	0.90	0.30	5.88	3.52	2.00	26.00
0.80	0.90	0.50	6.35	3.78	2.00	38.00
0.80	0.90	0.70	7.32	4.85	2.00	45.00
0.80	0.90	0.90	9.08	7.07	2.00	52.00
1.00	0.10	0.10	494.37	587.92	2.00	4425.00
1.00	0.10	0.30	88.61	109.95	2.00	933.00
1.00	0.10	0.50	57.38	62.65	2.00	626.00
1.00	0.10	0.70	49.65	48.98	2.00	319.00
1.00	0.10	0.90	50.47	45.44	2.00	286.00
1.00	0.30	0.10	95.17	122.06	2.00	899.00
1.00	0.30	0.30	26.52	28.66	2.00	281.00
1.00	0.30	0.50	20.33	19.18	2.00	148.00
1.00	0.30	0.70	19.14	17.16	2.00	135.00
1.00	0.30	0.90	20.90	19.41	2.00	199.00
1.00	0.50	0.10	45.41	53.76	2.00	350.00
1.00	0.50	0.30	16.06	15.50	2.00	150.00
1.00	0.50	0.50	12.81	10.87	2.00	81.00
1.00	0.50	0.70	12.33	9.83	2.00	81.00
1.00	0.50	0.90	14.20	12.32	2.00	120.00
1.00	0.70	0.10	27.95	30.96	2.00	247.00
1.00	0.70	0.30	12.59	11.55	2.00	105.00
1.00	0.70	0.50	9.84	7.54	2.00	56.00
1.00	0.70	0.70	10.01	7.21	2.00	55.00
1.00	0.70	0.90	11.01	8.55	2.00	67.00
1.00	0.90	0.10	22.05	24.28	2.00	238.00
1.00	0.90	0.30	9.65	7.93	2.00	80.00
1.00	0.90	0.50	8.29	5.60	2.00	43.00
1.00	0.90	0.70	9.10	6.49	2.00	46.00
1.00	0.90	0.90	11.40	8.84	2.00	59.00
